system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes,scenario,type,timestamp,anomaly
12.964,0.024,68.708,104135,0,0,2018-01-01 04:55:00,0
6.522,0.01,686.327,42426,0,0,2018-01-01 04:56:00,0
7.03,0.012,1810.0,10392,0,0,2018-01-01 04:57:00,0
8.12,0.018,1472.0,65518,0,0,2018-01-01 04:58:00,0
71.396,0.166,205.821,51388,0,0,2018-01-01 04:59:00,0
22.239,0.041,205.786,32422,0,0,2018-01-01 05:00:00,0
8.815,0.024,2480.0,88126,0,0,2018-01-01 05:01:00,0
11.294,0.019,890.658,58945,0,0,2018-01-01 05:02:00,0
7.969,0.017,4483.0,61626,0,0,2018-01-01 05:03:00,0
8.819,0.019,1610.0,59565,0,0,2018-01-01 05:04:00,0
42.017,0.085,1340.0,61564,0,0,2018-01-01 05:05:00,0
6.159,0.013,0.0,62560,0,0,2018-01-01 05:06:00,0
12.279,0.018,1945.0,57330,0,0,2018-01-01 05:07:00,0
5.426,0.01,480.852,60710,0,0,2018-01-01 05:08:00,0
6.769,0.016,961.462,82357,0,0,2018-01-01 05:09:00,0
7.322,0.014,548.786,59555,0,0,2018-01-01 05:10:00,0
5.911,0.009,2012.0,10998,0,0,2018-01-01 05:11:00,0
27.54,0.052,0.0,50218,0,0,2018-01-01 05:12:00,0
6.971,0.012,1946.0,62594,0,0,2018-01-01 05:13:00,0
62.217,0.173,2545.0,50370,0,0,2018-01-01 05:14:00,0
4.736,0.01,274.485,55956,0,0,2018-01-01 05:15:00,0
12.701,0.033,3150.0,62000,0,0,2018-01-01 05:16:00,0
11.927,0.022,0.0,84271,0,0,2018-01-01 05:17:00,0
5.126,0.009,0.0,35170,0,0,2018-01-01 05:18:00,0
7.866,0.016,0.0,36368,0,0,2018-01-01 05:19:00,0
9.774,0.017,0.0,108179,0,0,2018-01-01 05:20:00,0
4.471,0.006,0.0,9723,0,0,2018-01-01 05:21:00,0
14.021,0.023,480.027,58597,0,0,2018-01-01 05:22:00,0
9.818,0.018,0.0,101880,0,0,2018-01-01 05:23:00,0
46.16,0.144,2809.0,48564,0,0,2018-01-01 05:24:00,0
5.545,0.009,0.0,55263,0,0,2018-01-01 05:25:00,0
5.51,0.009,0.0,34268,0,0,2018-01-01 05:26:00,0
17.495,0.029,274.244,89986,0,0,2018-01-01 05:27:00,0
5.628,0.011,962.309,45108,0,0,2018-01-01 05:28:00,0
25.547,0.059,274.611,15420,0,0,2018-01-01 05:29:00,0
7.944,0.019,1005.0,70517,0,0,2018-01-01 05:30:00,0
44.806,0.1,1670.0,81339,0,0,2018-01-01 05:31:00,0
41.818,0.077,962.269,11075,0,0,2018-01-01 05:32:00,0
7.758,0.013,3426.0,59043,0,0,2018-01-01 05:33:00,0
11.0,0.025,412.591,110803,0,0,2018-01-01 05:34:00,0
7.769,0.014,1005.0,58850,0,0,2018-01-01 05:35:00,0
5.208,0.009,0.0,36284,0,0,2018-01-01 05:36:00,0
7.96,0.013,1339.0,58399,0,0,2018-01-01 05:37:00,0
8.598,0.015,68.716,59791,0,0,2018-01-01 05:38:00,0
13.256,0.027,616.429,60064,0,0,2018-01-01 05:39:00,0
8.618,0.018,137.473,60144,0,0,2018-01-01 05:40:00,0
4.812,0.011,0.0,61487,0,0,2018-01-01 05:41:00,0
10.78,0.021,756.735,58314,0,0,2018-01-01 05:42:00,0
9.667,0.018,550.006,45789,0,0,2018-01-01 05:43:00,0
9.727,0.023,1275.0,47505,0,0,2018-01-01 05:44:00,0
30.097,0.062,1875.0,47821,0,0,2018-01-01 05:45:00,0
24.294,0.044,0.0,54445,0,0,2018-01-01 05:46:00,0
21.126,0.037,0.0,56448,0,0,2018-01-01 05:47:00,0
8.533,0.015,0.0,58929,0,0,2018-01-01 05:48:00,0
8.393,0.016,68.754,60159,0,0,2018-01-01 05:49:00,0
10.642,0.019,1946.0,34686,0,0,2018-01-01 05:50:00,0
60.082,0.099,0.0,59103,0,0,2018-01-01 05:51:00,0
9.861,0.017,0.0,107283,0,0,2018-01-01 05:52:00,0
5.098,0.009,0.0,11103,0,0,2018-01-01 05:53:00,0
9.824,0.022,0.0,62477,0,0,2018-01-01 05:54:00,0
21.66,0.039,0.0,97907,0,0,2018-01-01 05:55:00,0
14.634,0.02,0.0,40246,0,0,2018-01-01 05:56:00,0
8.082,0.013,0.0,57045,0,0,2018-01-01 05:57:00,0
33.948,0.065,0.0,56717,0,0,2018-01-01 05:58:00,0
5.795,0.012,0.0,61887,0,0,2018-01-01 05:59:00,0
3.828,0.009,0.0,34391,0,0,2018-01-01 06:00:00,0
8.737,0.015,0.0,28307,0,0,2018-01-01 06:01:00,0
7.687,0.015,0.0,81473,0,0,2018-01-01 06:02:00,0
11.897,0.023,1539.0,50038,0,0,2018-01-01 06:03:00,0
10.33,0.02,1475.0,58340,0,0,2018-01-01 06:04:00,0
7.262,0.012,0.0,58821,0,0,2018-01-01 06:05:00,0
9.219,0.016,0.0,60750,0,0,2018-01-01 06:06:00,0
6.647,0.015,481.579,72962,0,0,2018-01-01 06:07:00,0
9.6,0.014,0.0,58327,0,0,2018-01-01 06:08:00,0
25.897,0.068,0.0,41148,0,0,2018-01-01 06:09:00,0
7.49,0.013,0.0,107861,0,0,2018-01-01 06:10:00,0
5.268,0.007,0.0,11396,0,0,2018-01-01 06:11:00,0
4.485,0.007,0.0,54444,0,0,2018-01-01 06:12:00,0
19.04,0.032,0.0,102360,0,0,2018-01-01 06:13:00,0
55.808,0.117,0.0,31556,0,0,2018-01-01 06:14:00,0
4.98,0.012,2823.0,47654,0,0,2018-01-01 06:15:00,0
9.128,0.023,1206.0,52069,0,0,2018-01-01 06:16:00,0
32.679,0.058,0.0,49167,0,0,2018-01-01 06:17:00,0
7.115,0.012,0.0,55482,0,0,2018-01-01 06:18:00,0
18.459,0.038,0.0,61216,0,0,2018-01-01 06:19:00,0
48.557,0.093,205.571,83781,0,0,2018-01-01 06:20:00,0
8.118,0.014,2615.0,59339,0,0,2018-01-01 06:21:00,0
20.974,0.04,342.876,36498,0,0,2018-01-01 06:22:00,0
6.351,0.01,0.0,58897,0,0,2018-01-01 06:23:00,0
10.238,0.024,2944.0,62429,0,0,2018-01-01 06:24:00,0
5.051,0.008,0.0,57873,0,0,2018-01-01 06:25:00,0
32.037,0.058,0.0,60073,0,0,2018-01-01 06:26:00,0
13.03,0.022,0.0,79100,0,0,2018-01-01 06:27:00,0
20.133,0.04,822.352,58357,0,0,2018-01-01 06:28:00,0
19.503,0.047,0.0,39566,0,0,2018-01-01 06:29:00,0
11.127,0.02,0.0,30948,0,0,2018-01-01 06:30:00,0
11.628,0.025,68.702,81248,0,0,2018-01-01 06:31:00,0
4.252,0.01,0.0,38020,0,0,2018-01-01 06:32:00,0
5.082,0.009,1673.0,46451,0,0,2018-01-01 06:33:00,0
7.115,0.016,0.0,59884,0,0,2018-01-01 06:34:00,0
12.2,0.02,3090.0,57565,0,0,2018-01-01 06:35:00,0
